page_title,gt_lat,gt_lon,gt_type,cl_to,type
"Hooker,_Missouri",37.86,-92.0608,city,Ghost_towns_on_U.S._Route_66,Town
"Ludlow,_California",34.7211,-116.16,city,Ghost_towns_on_U.S._Route_66,Town
"Sampson,_Missouri",37.4417,-92.8425,city,Ghost_towns_on_U.S._Route_66,Town
"Siberia,_California",34.6267,-115.986,city,Ghost_towns_on_U.S._Route_66,Town
"Times_Beach,_Missouri",38.5086,-90.6025,city,Ghost_towns_on_U.S._Route_66,Town
"Holman,_Missouri",37.2731,-93.0533,city,Ghost_towns_on_U.S._Route_66,Town
"Essex,_San_Bernardino_County,_California",34.7336,-115.245,city,Ghost_towns_on_U.S._Route_66,Town
"Hackberry,_Arizona",35.3692,-113.727,city,Ghost_towns_on_U.S._Route_66,Town
"Plano,_Missouri",37.1928,-93.5508,city,Ghost_towns_on_U.S._Route_66,Town
Cyrus_Avery,36.162,-95.925,landmark,U.S._Route_66,Other
Route_66_Park,37.0847,-94.5132,,U.S._Route_66,,Attraction
Standin'_on_the_Corner_Park,35.0235,-110.698,,U.S._Route_66_in_Arizona,Attraction
"Ash_Fork,_Arizona",35.2211,-112.487,city,U.S._Route_66_in_Arizona,Town
"Kingman,_Arizona",35.2083,-114.026,city,U.S._Route_66_in_Arizona,Town
"Flagstaff,_Arizona",35.1992,-111.631,city,U.S._Route_66_in_Arizona,Town
"Holbrook,_Arizona",34.9072,-110.163,city,U.S._Route_66_in_Arizona,Town
"Houck,_Arizona",35.2836,-109.238,city,U.S._Route_66_in_Arizona,Town
"Joseph_City,_Arizona",34.9558,-110.334,city,U.S._Route_66_in_Arizona,Town
"Peach_Springs,_Arizona",35.5344,-113.423,city,U.S._Route_66_in_Arizona,Town
"Parks,_Arizona",35.2914,-111.959,city,U.S._Route_66_in_Arizona,Town
"Navajo_Springs,_Arizona",35.1008,-109.496,,U.S._Route_66_in_Arizona,Town
"Oatman,_Arizona",35.0264,-114.384,city,U.S._Route_66_in_Arizona,Town
"Seligman,_Arizona",35.3283,-112.874,city,U.S._Route_66_in_Arizona,Town
Seligman_Commercial_Historic_District,35.3264,-112.874,landmark,U.S._Route_66_in_Arizona,Building
Summit_Inn,34.3591,-117.435,landmark,U.S._Route_66_in_California,Attraction
Interstate_110_and_State_Route_110_(California),34.0558,-118.256,,U.S._Route_66_in_California,Other
Sunset_Boulevard,34.0807,-118.431,,U.S._Route_66_in_California,Other
Bekins_Storage_Co._Roof_Sign,34.1372,-118.15,landmark,U.S._Route_66_in_California,Attraction
